"REF_DATE","GEO","DGUID","Age group","Sex","Life stress","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","Number of persons","Persons","249","units ","0","v1703767","1.1.1.1.1","21387688","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703768","1.1.1.1.2","21264718","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703769","1.1.1.1.3","21510659","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","Coefficient of variation for number of persons","Persons","249","units ","0","v4203119","1.1.1.1.4","0.3","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","Percent","Percent","239","units ","0","v4203120","1.1.1.1.5","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","Low 95% confidence interval - percent","Percent","239","units ","0","v4203121","1.1.1.1.6","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","High 95% confidence interval - percent","Percent","239","units ","0","v4203122","1.1.1.1.7","100.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Total population for the variable life stress","Coefficient of variation for percent","Percent","239","units ","0","v4203123","1.1.1.1.8","0.0","","","","1"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","Number of persons","Persons","249","units ","0","v1703770","1.1.1.2.1","7231606","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1703771","1.1.1.2.2","7000949","","","","0"
"1994","Canada","","Total, 18 years and over","Both sexes","Low life stress","High 95% confidence interval - number of persons","Persons","249","units ","0","v1703772","1.1.1.2.3","7462262","","","","0"
